,tweets,target
1599,"""This is easily one of the most challenging tests of the week for these young athletes.”  ",1
1600,New NFL Combine Drill Places Player Alone In Room With Woman  ,1
1601,Missed H.O.R.S.E. Shots Getting Increasingly Ambitious  ,1
1602,Zach LaVine Jumps Over Pile Of Minnesota Timberwolves Draft Busts During Slam Dunk Contest,1
1603,Being On Volleyball Team Accounts For 97% Of High School Sophomore’s Identity  ,1
1604,"""I couldn’t believe how smooth Ryan Tannehill was.”  ",1
1605,Last-Ever Baseball Fan Born  ,1
1606,Clairvoyant Basketball Fan Stands Up With Raised Fist Before Shot Even Goes In,1
1607,eBay Shopper Struggling To Narrow Down Vast Selection Of Available Super Bowl Rings  ,1
1608,"Every Single Professional Athlete, Coach, Owner Younger Than Area Man",1
1609,Resilient Tom Brady Critics Already Looking Ahead To Next Season  ,1
1610,Delivery Room Nurse Tired Of Taking Shit From Richard Sherman  ,1
1611,New England Fans: ‘We Don’t Deserve This’  ,1
1612,Nick Saban Returns From 2-Year Recruiting Expedition With 94 Blue-Chip Players  ,1
1613,NFL Investigating Allegations That Falcons Pumped Fake Fans Into Stadium,1
1614,Nation Prepares For Long Week Of Seeing Photos Of Tom Brady Lifting Super Bowl Trophy  ,1
1615,Rehab Program Puts Johnny Manziel In Ryan Leaf's Old Room,1
1616,Report: Seattle Fans Set New Record For Most Deafening Silence Following Super Bowl,1
1617,Highlights included Bill Belichick sealing Pete Carroll’s soul inside the Lombardi Trophy  ,1
1618,Tom Brady tells a reporter he’s going to Disney World with his unvaccinated children  ,1
1619,Here are some key moments from Super Bowl XLIX:  ,1
1620,“The look on [Russell Wilson’s] face after I made him throw that pick on the goal line was just priceless.” – God ,1
1621,God: ‘Fuck Russell Wilson’  #SuperBowl ,1
1622,Bill Belichick Credits Victory To His God  #SuperBowl ,1
1623,Thanks for following @OnionSports' live coverage of the last thing Pete Carroll will think of on his death bed #SuperBowl,1
1624,Truck Wants Tom Brady Inside Of It So Bad #SuperBowl,1
1625,In Focus: Super Bowl Confetti Made Entirely From Shredded Concussion Studies  ,1
1626,Fingerprints On Lombardi Trophy To Be Used In Dozens Of Criminal Investigations  ,1
1627,Bill Belichick Credits Victory To His God  #SuperBowl ,1
1628,Patriots Super Bowl Win Provides Storybook Ending To NFL Credibility  #SuperBowl ,1
1629,Emotional Bill Belichick Wipes Away Tar Streaming From Eyes After Super Bowl  #SuperBowl ,1
1630,Brother-In-Law Has Something To Tell You During Amazing Play #SuperBowl,1
1631,James Spader Kicks Extra Point In Special 'The Blacklist’ Promotion #SuperBowl,1
1632,Tom Brady Breaks Tom Brady's Record For Super Bowl Touchdown Passes #SuperBowl,1
1633,Richard Sherman Makes Nice One-Handed Taunt #SuperBowl,1
1634,$4.5 Million Commercial Sat Through #SuperBowl,1
1635,Drunk Friend Suggests Seahawks Go For It #SuperBowl,1
1636,Thank you to our Super Bowl sponsor @DiGiornoPizza for sending our dedicated reporters a gift basket full of ovens,1
1637,Friend Who Doesn't Care About Football Getting Ready To Leave Super Bowl Party,1
1638,Report: Robert Kraft Wore His Good $5 Shirt To Super Bowl,1
1639,Word 'Run' Used In Same Sentence As 'Vince Wilfork’ #SuperBowl,1
1640,NBC Struggling To Find Enough Exciting Plays For Montage #SuperBowl,1
1641,New Patriots Formation Has Julian Edelman Line Up On Rob Gronkowski's Shoulder #SuperBowl,1
1642,Report: Fatigue May Become Factor For Viewing Audience #SuperBowl,1
1643,Player Who Just Lost 5 Years Off Lifespan Shaken Up #SuperBowl,1
1644,Company Airs Super Bowl Ad To Target Coveted .18-.34 BAC Demographic #SuperBowl,1
1645,Report: Every Player On Seahawks Roster Used To Work At Same Foot Locker,1
1646,Nation Absolutely Savoring Tom Brady's Facial Expression After Each Interception #SuperBowl,1
1647,Four-Foot Pile Of Chewed Gum Next To Pete Carroll #SuperBowl,1
1648,Michelle Tafoya Expressly Warned Not To Look Into Belichick’s Eyes #SuperBowl,1
1649,Medic Checking Katy Perry For Concussion #SuperBowl,1
1650,Grounds Crews Plowing Glitter Off Field #SuperBowl,1
1651,Katy Perry Writhing On Stage After Tearing Vocal Cord #SuperBowl,1
1652,Katy Perry To Float Around Stadium For Remainder Of Game #SuperBowl,1
1653,U.S. Populace Thinking About Killing Themselves #SuperBowl,1
1654,Nation Never Thought They Would Have Missed Bruno Mars This Much #SuperBowl,1
1655,Metallic Lion Caught Lip-Synching #SuperBowl,1
1656,Report: Someone Out There Probably Really Into This #SuperBowl,1
1657,.@KatyPerry Urges Super Bowl Viewers To Join ISIS In Fight Against West #SuperBowl,1
1658,"‘The NFL Is Deeply Concerned About Domestic Violence,’ Thinks Local Moron  #SuperBowl ",1
1659,Puppy Bowl Overshadowed By League’s Rampant Heart Worm Pill Abuse  #SuperBowl ,1
1660,Nation Just Wants First Half To End #SuperBowl,1
1661,OSN Stats: Russell Wilson has now surpassed Kurt Warner for most Super Bowl passes completed by God #SuperBowl,1
1662,Final 30 Seconds Of Half Enters 18th Minute #SuperBowl,1
1663,Gronk Celebrates Touchdown By Dunking Julian Edelman Over Crossbar #SuperBowl,1
1664,OSN Analysis: Patriots are primarily using 3-fucking-nobody sets on passing plays #SuperBowl,1
1665,Peyton Manning Quietly Checks Super Bowl Score On iPhone #SB49,1
1666,In Focus: Katy Perry Drops Hints That #SuperBowl Halftime Show Will Be Awful  ,1
1667,Touchdown Noise Interrupts Man's Nap #SuperBowl,1
1668,"Julian Edelman, Danny Amendola Arguing On Sidelines Over Who's Smaller #SuperBowl",1
1669,Breaking: #SuperBowl Trending On Twitter,1
1670,Thank you to our Super Bowl sponsor @DiGiornoPizza for making preparations to feed our reporter embedded inside today’s game ball,1
1671,"Human Fears, Weaknesses Preyed Upon To Sell Shampoo #SB49",1
1672,"OSN Analysis: If game ended right now, the Patriots would win #SB49",1
1673,Thousands Of Seahawks Fans Filing Out Of Stadium #SB49,1
1674,NFL Clearly Using Alcohol Commercials To Distract Itself From Real Problems #SB49,1
1675,Commercial-Free Viewing Experience Worth Price Of Super Bowl Ticket #SB49,1
1676,OSN Analysis: The Patriots need to get first down here in order to get new set of downs #SB49,1
1677,Russell Wilson's Playbook Wristband Just Bible Verses #SB49,1
1678,NBC Using Super Bowl To Test Out New Single-Camera Format #SB49,1
1679,"Fan Who Forgot Camera Hoping One Of 45,000 Spectators Can Email Picture Of Kickoff",1
1680,Roger Goodell Takes Customary Super Bowl Seat On Robert Kraft's Lap #SB49,1
1681,OSN Stats: Seahawks 1 for 1 on kickoffs #SB49,1
1682,Fox Just Going To Air Super Bowl Until Somebody Says Something To Them #SB49,1
1683,Coin Carted Off Field After Landing Awkwardly On Ground #SB49,1
1684,Stadium Observes Moment Of Silence For All The Coins Lost This Past Year #SB49,1
1685,Al Michaels Slips In ‘I’ve Always Hated That Song’ After National Anthem #SB49,1
1686,Pete Carroll Mumbling 'Controlled Demolition' Under Breath During National Anthem,1
1687,This The Last Super Bowl To Not Feature ‘God Save The Queen’ #SB49,1
1688,Giant American Flag Draped Over Entire Stadium During National Anthem  #SB49 ,1
1689,Bar Patron Can't Believe He's Partying With Rob Gronkowski 15 Minutes Before Kickoff  ,1
1690,Aaron Hernandez Leads Patriots Out Of Tunnel #SB49,1
1691,Excited Pete Carroll Comes Sprinting Out From Tunnel 4 Minutes Before Seahawks Players #SB49,1
1692,Michelle Tafoya Warms Up By Saying ‘Questionable To Return’ 200 Times #SB49,1
1693,Sales Presentation Breaks Out In Parking Lot At Super Bowl Tailgate #SB49,1
1694,"Seahawks, Patriots Begrudgingly Pay NFL $20,000 Apiece For Locker Room Use Fee",1
1695,Friend Shows Up To Super Bowl Party Wearing Eagles Jersey For Some Reason  #SB49 ,1
1696,"Two teams enter, only Roger Goodell can win. Follow @OnionSports for OSN's live coverage of the Super Bowl #SB49",1
1697,Strengths: Capable of taking on opposing team’s biggest ego  #SB49 ,1
1698,Responsible Gambler Builds Diverse Portfolio Of Super Bowl Prop Bets  ,1
1699,"9% of poll respondents said, ""Indubitably, my good sir! Assemble my nachos, posthaste!”  #SB49 ",1
1700,Strengths: Can always see loopholes in NFL rules that other quarterbacks can’t  #SB49 ,1
1701,Strengths: Won’t let a few bad throws prevent his defense from winning games  #SB49 ,1
1702,Walter Payton Man Of The Year Award Chucked At Mirror,1
1703,Katy Perry Drops Hints That Super Bowl Halftime Show Will Be Awful  ,1
1704,"$37,000: Amount the average Super Bowl viewer spends on products advertised during the game  ",1
1705,Patriots Really Embracing ‘Us Against The Rules’ Mentality  ,1
1706,Did you know the city of Glendale was awarded $6.2 billion in Super Bowl Federal Aid?  ,1
1707,"Lance Armstrong, Barry Bonds, A-Rod Spring To Patriots’ Defense Over Deflated Footballs  ",1
1708,Rest Of Season Not Expected To Miss @KobeBryant  ,1
1709,"""The so-called right to privacy is no longer a right inasmuch as it is now a privilege.”  ",1
1710,Marshawn Lynch Delivers Eloquent 45-Minute Address On Privacy In The Modern Age  ,1
1711,Everyone Fine With Canceled Knicks Game Not Being Rescheduled,1
1712,Fascinating Man Went To Same High School As Professional Athlete  ,1
1713,"In Focus: Family, Friends Really Looking Forward To Next 9 Months Of Being Around Kobe Bryant  ",1
1714,New NCAA Regulations Prohibit Student-Athletes From Studying More Than 30 Hours Per Week  ,1
1715,NFL Braces For Record-Low Pro Bowl Player Attendance  ,1
1716,Doug Baldwin Sick Of Being Disrespected By Statistics  ,1
1717,Man Hoping Some Benevolent Website Will Publish Article Listing Date And Time Of Super Bowl,1
1718,NFL Investigating Whether Patriots Played Game With Properly Inflated Vince Wilfork  ,1
1719,Green Bay Packers Disgusted After Being Greeted At Airport By Loyal Fans,1
1720,COLTS: Keep the Patriots defense guessing by using a wide variety of broken plays  #KeysToTheMatchup,1
1721,SEAHAWKS: Set the tone early by delivering several big hits on the Packers during warmups  #KeysToTheMatchup #GBvsSEA,1
1722,PACKERS: Pressure Russell Wilson by whispering to him that this is his contract year  #KeysToTheMatchup #GBvsSEA,1
1723,Keys To The Matchup: Colts vs. Patriots  ,1
1724,Keys To The Matchup: Packers vs. Seahawks  ,1
1725,In Focus: Seahawks To Seattle Fans: ‘Shut The Fuck Up’  ,1
1726,John Elway Casually Mentions To Peyton Manning How Great It Was Going Out On Top In ’98  ,1
1727,"""I’m a great quarterback—the greatest quarterback who ever lived. Me. I’m the best.” – Tom Brady ",1
1728,Tom Brady: ‘Joe Montana Sucks And I Am Better Than Him’  ,1
1729,"Dick LeBeau: ""I could easily see myself going through the 2045 season.” ",1
1730,Dick LeBeau Confident He Still Has 30 Or 40 Years Of Coaching Left In Him  ,1
1731,NFL To Supply Super Bowl With Balls That Performed Best During Regular Season,1
1732,Report: Peyton Manning Played Entire Season With 38-Year-Old Body  ,1
1733,Cristiano Ronaldo Celebrates Ballon D’Or Win By Ripping Off Tuxedo  ,1
1734,Potential Head Coach Candidate Narrowly Avoids Phone Call From Bears,1
1735,Graduating Seniors Somber After Being Financially Exploited On Field For Last Time  ,1
1736,Rex Ryan Happy To Get Chance To Fail Less Publicly,1
1737,In Focus: Wife Kept Up All Night By Kevin Garnett Talking Trash In Sleep  ,1
1738,"OREGON: Remember that this here is a football game, not a goddamn fashion show  #KeysToTheMatchup #OREvsOSU",1
1739,"OSU: Minimize distractions by prohibiting players from texting with girlfriends, agents  #KeysToTheMatchup #OREvsOSU",1
1740,OREGON: Keep in mind that Nike is not a charity and expects its investments to produce  #KeysToTheMatchup #OREvsOSU,1
1741,Broncos Players Claim They'll Really Miss John Fox's Air Of Utter Confusion  ,1
1742,Andrew Luck Skittishly Declines Postgame Whippet From Jim Irsay,1
1743,Keys To The Matchup: Oregon vs. Ohio State  ,1
1744,Les Miles Assures Recruits’ Parents His Players Are Like Sons He Can Cut At Any Time ,1
1745,CBS To Feature In-Studio Fan To Provide Partially Correct Explanations Of Refs’ Calls ,1
1746,Speculation Mounting Over Which Fired NFL Head Coaches To Be Emasculated As Coordinators Next Season ,1
1747,Man Who Spent 300 Hours Playing Fantasy Football This Year Rewarded With $30 Second-Place Payout ,1
1748,Marvin Lewis Not Sure What He Should Be Learning From Playoff Losses At This Point  ,1
1749,Report: Controversial Non-Call In Cowboys-Lions Game To Probably Get Own Wikipedia Page At Some Point,1
1750,"On #ToughSeason, it's the #fantasyfootball championship and Brad’s lineup isn’t set  #SPON ",1
1751,Athlete’s Heartwarming Story Fucking Sucks  ,1
1752,"Fantasy Football Week 15: Start ’Em, Sit ’Em  ",1
1753,Report: Jets Players Lied About Concussion Symptoms To Get Out Of Games  ,1
1754,Only Post On Fantasy Football League Message Board Still Commissioner’s Message Announcing Time Of Draft ,1
1755,"In this week's #ToughSeason, #fantasyfootball playoffs begin  #SPON ",1
1756,Lakers Confident They Just Need Another Once-In-A-Generation Player To Get Back On Track  ,1
1757,In Focus: Johnny Manziel Forced To Wear Cleveland Browns Jersey In Cruel Rookie Hazing Incident ,1
1758,Michael Jordan Fans Commemorate Anniversary Of Remarkable Flu Hanes Commercial  ,1
1759,Jon Gruden Impressed By Every Blade Of Grass On Football Field  ,1
1760,NFL Week 14 Winners And Losers  ,1
1761,Trainer Riding Cart Trying To Think Of Things To Talk About Besides Player’s Mangled Leg,1
1762,No One At CBS Remembers Hiring O.J. Simpson As Color Commentator  ,1
1763,Overly Polite Announcer Introduces Jazz To Each Member Of Crowd Individually,1
1764,Brandon Marshall Remains Hospitalized With Collapsed Ego   ,1
1765,"Fantasy Football Week 14: Start ’Em, Sit ’Em  ",1
1766,Wife Kept Up All Night By Kevin Garnett Talking Trash In Sleep  ,1
1767,Jay Cutler Disappears Into Folds Of Winter Coat  ,1
1768,Barry Sanders Figures It His Turn To Pull Stint As Mentor For One Of League’s Fuckups  ,1
1769,Fantasy football guru  @PerryBigwell says dump RG3 from your roster now  ,1
1770,"On #ToughSeason, Brad faces Jack in his last regular season fantasy football matchup  #SPON ",1
1771,Ray Rice Hoping 3.1 Yards Per Carry Last Season Won’t Deter Teams From Signing Him  ,1
1772,"""Honestly, I’m just glad we’re so much of an afterthought.”  ",1
1773,Derrick Rose Criticizes Grueling 6.5-Game Season,1
1774,NFL Week 13 Winners And Losers  ,1
1775,Family Squeezes In Grace During Injury Timeout,1
1776,Nation Shoveling Food Into Mouths In Hopes Of Sleeping Through Eagles-Cowboys Game,1
1777,Thanksgiving Football Highlights | @OnionSports looks back at a century of tradition  ,1
1778,Families Of Bears Players Ask To Have Faces Blurred Out During Thanksgiving Promos  ,1
1779,NFL To Crack Down On Players For Excessive Thanksgiving Celebrations  ,1
1780,"On #ToughSeason, Brad prepares for the biggest #fantasyfootball matchup of his life   #SPON ",1
1781,Roger Goodell Ceremonially Pardons Turkey Accused Of Domestic Violence  ,1
1782,Jason Garrett Insists He Can Trace Coaching Tree Back To Mayflower  ,1
1783,NFL Week 12 Winners And Losers  ,1
1784,It Becoming More And More Clear That Browns Fan Came To Sports Bar Alone  ,1
1785,Florida Gators Lead Out Of Tunnel By Head Coach Search Committee,1
1786,"Fantasy Football Week 12: Start ’Em, Sit ’Em  ",1
1787,Rookie Teammate Worried Ndamukong Suh Taking Him Under Wing  ,1
1788,“The fact that he can even walk is a testament to all the medical advancements we’ve made.”  ,1
1789,Raiders Drop Out Of NFL Power Rankings,1
1790,NFL Week 11 Winners And Losers  ,1
1791,Report: 98% Of NFL Team Leaders Need To Step Up ,1
1792,"Fantasy Football Week 11: Start ’Em, Sit ’Em | @OnionSports’ expert analysis:  ",1
1793,Florida State Coaches Award Helmet Sticker To Tallahassee Police Officer  ,1
1794,NFL Opens Counseling Center To Help Bears Fans Cope With Devastating Blowouts  ,1
1795,"The embattled Bears head coach told reporters, ""This baby is all of ours to raise.”  ",1
1796,"On #ToughSeason, Brad hits rock bottom after his #FantasyFootball season falls apart  ",1
1797,Report: Friend’s Dad Knows Someone With Season Tickets  ,1
1798,"“Someone has to step up and accept that mistakes were made by our punter, Pat O’Donnell.” – Jay Cutler ",1
1799,Bruce Arians: ‘Cardinals Could Win Super Bowl With Drew Stanton At Back-Up’,1
1800,Jay Cutler: ‘I’ll Be The First Person To Admit We Need A New Punter’  ,1
1801,San Francisco District Attorney Excited To Use Free 49ers Box Seats For Rest Of Season,1
1802,NFL Week 10 Winners And Losers  ,1
1803,"Bears (D/ST): Jesus Christ, why the fuck do you still own these useless shitheads?  #CHIvsGB ",1
1804,"Fantasy Football Week 10: Start ’Em, Sit ’Em | Onion Sports’ expert analysis ",1
1805,Injury That Will Cause Excruciating Pain For Rest Of Life Thankfully Not Season-Ending ,1
1806,NFL Issues Stern Warning Against Looking Directly At Raiders’ Offense  ,1
1807,"With his #fantasyfootball season spiraling out of control, Brad decides to go it alone  ",1
1808,Philadelphia-Area Sports Psychologist Already Clearing Schedule For Mark Sanchez  ,1
1809,NFL Releases New Study On Long-Term Damage Of Concussion Research  ,1
1810,NASCAR Issues Stern Warning To Drivers About Rasslin’,1
1811,Onion Sports presents its winners and losers from the ninth week of the NFL season  ,1
1812,Raiders Somehow Eliminated From 2016 Playoffs,1
1813,"Fantasy Football Week 9: Start ’Em, Sit ’Em | Onion Sports has expert analysis  ",1
1814,“We have every right to pay for Coach Saban’s facial hair removal through electrolysis.” ,1
1815,Alabama Boosters Under Fire After Paying For Nick Saban’s Sex Change  ,1
1816,Sportswriter Has Hunch Team Will Use Bye Week To Get Healthy  ,1
1817,Fantasy guru @PerryBigwell pleads to whoever kidnapped him to let him out of the studio  ,1
1818,"On #ToughSeason, Brad commits a #fantasyfootball sin: complaining to the commissioner  ",1
1819,2-Year-Old Never Thought He Would Live To See Giants Win World Series  #WorldSeriesGame7 ,1
1820,Bears GM Hoping To Motivate Jay Cutler With More Guaranteed Money  ,1
1821,Bye Week Wasted Suffering Blinding Headaches,1
1822,From The Archives: Radio Interviewer Audibly Fellating Colt McCoy ,1
1823,"""My parents certainly never found out. I don’t know, maybe part of me wanted to get caught."" - Jon Gruden  #DALvsWAS",1
1824,Jon Gruden Shares Weird Childhood Story About Spying On Naked Brother  ,1
1825,In Focus: Steve Nash Out Two Weeks After Accidentally Snapping In Half  ,1
1826,Penn State Honors Legendary 2012 Legal Team During Halftime  ,1
1827,Onion Sports presents its winners and losers from the eighth week of the NFL season:  ,1
1828,Local Man Almost Finished Collecting Fantasy Football Winnings From 2005  ,1
1829,"On #ToughSeason, Brad finally gets knocked back to Earth by rising Cameron The Intern  #SPON ",1
1830,Football Player Repeatedly Hit In Head Showing First Signs Of Mental Toughness,1
1831,Jets Amazed By Percy Harvin’s Willingness To Fight In Huddle  ,1
1832,"On Owner's Box, fantasy guru @PerryBigwell has a special Thursday Night Football preview  ",1
1833,Football Hall Of Fame Acquires Peyton Manning's Record-Breaking Touchdown-Throwing Arm  ,1
1834,Curt Schilling’s Family Urges Him To Finally See Doctor About Bleeding Ankle  ,1
1835,NBA Players Excited To Ramp It Up To 70% For Regular Season,1
1836,Bud Selig Awoken From Cryosleep In Time For World Series  ,1
1837,In Focus: SI Investigation Reveals Oklahoma State An Awesome Place To Play Football ,1
1838,Onion Sports presents its winners and losers from the seventh week of the NFL season  ,1
1839,"Fantasy Football Week 7: Start ’Em, Sit ’Em  ",1
1840,Report: Stresses Of Jets Coaching Job Has Caused Rex Ryan To Lose Over 400 Pounds  ,1
1841,Abysmal TV Ratings Continue Miraculous Run Through MLB Playoffs  ,1
1842,Nation Struggling To Remember Why It Was Ever Mad At Roger Goodell  ,1
1843,"Fantasy guru @PerryBigwell says @JoiqueBell is Week 7’s Must Start, which means Bell is doomed  ",1
1844,High School Football Coach Unsure How To Tap Into Aggression Of Hormonal Adolescent Teenagers  ,1
1845,High School Football Star Sees No Reason To Distrust Autograph Seeker Driving Van Loaded With Jerseys,1
1846,Study: NFL Referees May Be Biased Toward Disciplined Teams  ,1
1847,Doctor Informs Kevin Durant He'll Never Dunk Again Without Cane  ,1
1848,"Yankees, Lakers Fans Blow Layer Of Dust Off Cowboys Hats",1
1849,NFL Week Six Winners And Losers  ,1
1850,"Fantasy Football Week 6: Start ’Em, Sit ’Em | Expert analysis from Onion Sports:  ",1
1851,Report: More NFL Stadiums Cutting Off Fights After Third Quarter  ,1
1852,Fan Vows To Donate Brain Subjected To Hundreds Of Titans Games  ,1
1853,Valiant Florida Gators Fan Not Rushing To Judge Quarterback Accused Of Sexual Assault  ,1
1854,"Deep Down, Philip Rivers Knows He Didn’t Earn Week-5 QB Rating",1
1855,NBA Splurges On Brand New $24 Billion Graphics Package,1
1856,Michael Phelps Banned From Having Any Contact With Water For 6 Months  ,1
1857,Family Avoiding Eye Contact With Dad After Steelers Fumble  ,1
1858,NFL Week Five Winners And Losers  ,1
1859,This Week Last Year: 53 Worst Current Buffalo Bills Players ,1
1860,"Fantasy Football Week 5: Start ’Em, Sit ’Em  ",1
1861,NFL Floats Idea Of 18-Game Week  ,1
1862,"Bloody, Detached Hand Of Bears’ Player Still In Julius Peppers’ Facemask  ",1
1863,Yankees Announce A-Rod Switching To Number 2  ,1
1864,"Safety Announces Plans To Run Up To Line Of Scrimmage, Quickly Backpedal After Snap",1
1865,ESPN Gives On-Air Personalities List Of 6 Pre-Approved Opinions ,1
1866,Ray Rice Still Getting Emails About Job Opening With Ravens,1
1867,Jets Offense Holds Shitty-Players-Only Meeting,1
1868,The Onion’s #FantasyFootball coverage offers guidance for your meaningless hobby. Read more  ,1
1869,NFL Week Four Winners And Losers  ,1
1870,New NFL Rule Protects Quarterbacks From Brutal Criticism  ,1
1871,Cris Collinsworth Physically Unable To Say Enough Good Things About Winning Team,1
1872,"Fantasy Football Week 4: Start ’Em, Sit ’Em  ",1
1873,Man Watches 4 Innings Of Game On Concession Stand’s TV Monitor  ,1
1874,"BREAKING: This Is Section 208, We’re Supposed To Be In 209  ",1
1875,Heineken Reminds NFL Executives They Would Be Pretty Forgiving Corporate Sponsor ,1
1876,Derek Jeter: ‘I Will Never Enter This Part Of The City Again’  ,1
1877,Yankees Unveil Beautiful Derek Jeter Cage In Monument Park  ,1
1878,"Fantasy guru @PerryBigwell, the soothsayer, fucking told you  ",1
1879,"Yankees Fan Spends $10,000 On Derek Jeter Game-Used Condom",1
1880,Derek Jeter: Onion Sports Pays Tribute To The 47th Greatest Yankee  ,1
1881,Sources: NFL Knew What Evil Lurking Within Heart Of Man  ,1
1882,Fox Ad Touts Player-Studded MLB Playoffs,1
1883,NFL Week Three Winners And Losers  ,1
1884,"EMERGENCY ALERT: Americans in 14 cities advised to avoid downtown areas, nightclubs, football stadiums ",1
1885,"Fantasy Football Week 3: Start ’Em, Sit ’Em | Expert analysis on which players to keep and which players to drop ",1
1886,Steelers To Wear Patch Honoring Victims Of Ben Roethlisberger  ,1
1887,Family Members Of NFL Players Desperately Call For More Overseas Games ,1
1888,Man’s Imagination Limited To Scenarios In Which Team Recovers 2 Onside Kicks,1
1889,Fantasy Team’s Performance Only Thing Man Holding Himself Accountable For  ,1
1890,The Onion’s Fantasy Football coverage is just the welcome dose of non-reality you needed  ,1
1891,NFL Week Two Winners | Adrian Peterson: Peterson may have done enough this week to finally get out of Minnesota ,1
1892,Onion Sports presents its winners and losers from the second week of the NFL season  ,1
1893,"On Owner's Box, @PerryBigwell says owners should keep domestic abusers on their fantasy team  ",1
1894,Onion Sports has expert analysis on setting your fantasy football starting lineup this week    ,1
1895,Fox Sports Announces Plans To Mic Up NFL Players' Tendons  ,1
1896,"On Owner's Box, @PerryBigwell says owners should keep domestic abusers on their fantasy team  ",1
1897,John Harbaugh: 'It's Hard To Watch Disturbing Footage Of Our Loss To The Bengals'  ,1
1898,Arizona Cardinals Retire Kurt Warner's Rams Jersey,1
1899,Onion Sports presents its winners and losers from the first week of the NFL season  ,1
1900,Fantasy football is a welcome reprieve from your ever-present reality. Read our coverage here  ,1
1901,Follow Onion Sports' fantasy football guru @PerryBigwell this morning for last-minute tips on adjusting your roster,1
1902,"Pats' Unofficial Mascot: Malthus, Earl of Hell, Commander of Demons | Team-by-team analysis:  ",1
1903,Cowboys' Offensive System: Based heavily on yards after the lucky catch | More team-by-team analysis: ,1
1904,"The Week In Sports – Week Of September 6, 2014  ",1
1905,"Man Simultaneously Excited For, Dreading NFL Taking Up His Entire Sunday For Next Four Months  ",1
1906,Bucs' Biggest Weakness: No one from front office has shown up to work in nine years  ,1
1907,Jaguars' Biggest Weakness: Players forced to take time off to apartment hunt in London | More AFC analysis: ,1
1908,Texans' Biggest Weaknesses: The base vanity and fear that hobbles us all; Run defense  ,1
1909,"With the 2014 NFL season kicking off this week, Onion Sports has in-depth analysis on each team in the AFC South. ",1
1910,"On today's Owner's Box, @PerryBigwell discusses the mangled joints that make up Rob Gronkowski  ",1
1911,"Broncos' Projected Number Of Audibles Over Season: 3,197 | More AFC West analysis: ",1
1912,Seahawks' Most Valuable Possession: Peyton Manning’s legacy | More NFC West analysis: ,1
1913,Onion Sports has the comprehensive guide to the most exciting NFL players of 2014  ,1
1914,"Seahawks' Biggest Strength: Big, physical mouths | More NFC West analysis:  ",1
1915,"With the 2014 NFL season kicking off tonight, Onion Sports has in-depth analysis on each team in the NFC West. ",1
1916,Chiefs' Key Addition: Several hundred thousand bandwagon fans | More AFC analysis:  ,1
1917,Raiders' Biggest Weakness: Tendency to allow opposing teams to score over 35 points | More AFC West analysis: ,1
1918,Jerry Jones Claims Dallas Cowboys Are The Team To Beat Up On This Season  ,1
1919,College Football Player First In Family To Meet NCAA Academic Eligibility Requirements ,1
1920,Steelers' Biggest Strength: Team has rallied around utter disdain for Ben Roethlisberger  ,1
1921,"Ravens' Biggest Strength: The NFL’s outlook on domestic violence prior to August 28, 2014  ",1
1922,"With the NFL season kicking off this week, Onion Sports has in-depth analysis on each team in the AFC North ",1
1923,Bears' Biggest Question: How are they going to fuck it up this time? | More NFC analysis:  ,1
1924,Lions' Biggest Weakness: Pass rush hinges on mentally unstable psychopath | More NFC analysis:  ,1
1925,"With the NFL season kicking off this week, Onion Sports has in-depth analysis on each team in the NFC North ",1
1926,RGIII Refusing To Let Realistic Assessment Of His Play Get To Him  ,1
1927,"With the 2014 NFL season kicking off this week, Onion Sports has in-depth analysis on each team in the AFC East. ",1
1928,Onion Sports has a full analysis of the Redskins and the rest of the NFC East.  ,1
1929,"With the NFL season kicking off this week, Onion Sports has in-depth analysis on each team in the NFC East ",1
1930,Having a hard time not getting work done? Give our fantasy football section a spin  #SPON ,1
1931,Doctors Optimistic Sam Bradford 2 Months Away From Beginning Work On Broadcasting Career  ,1
1932,"""[Cassel] has displayed great balance when trying not to fuck up any of Adrian’s potential running lanes."" ",1
1933,Vikings Intrigued By Matt Cassel's Ability To Get The Fuck Out Of Adrian Peterson's Way  ,1
1934,In Focus: New Poll Finds Most NFL Players Still Not Ready To Date Gay Teammate  ,1
1935,College Fight Song Admits Team Fallible Off-Field,1
1936,Grandfather Not Taking South Korea’s Little League World Series Win Very Well ,1
1937,Wes Welker Confident He Will Be Ready For Patriots’ Season Opener  ,1
1938,Condoleezza Rice Spends First 15 Minutes Of College Football Committee Meeting Asking What The Fuck She's Doing There ,1
1939,Validate your fantasy football strategy by reading The Onion's Fantasy Football coverage  #SPON ,1
1940,Pure-Hearted Little League World Series Players Playing Simply For Love Of ESPN’s Bottom Line  ,1
1941,"""So far, they’ve been practically inseparable"" - Mike Pettine on Johnny Manziel and the Browns bench ",1
1942,Browns Impressed By Johnny Manziel’s Chemistry With Bench  ,1
1943,"""All the dried blood out there pretty much renders your slice useless. It’s a very tricky surface."" - Maria Sharapova ",1
1944,"""The Syrian is easily one of the most physically and mentally demanding events on the tour."" – Maria Sharapova ",1
1945,Rubble Courts At Syrian Open Present Unique Challenge For Tennis Stars  ,1
1946,Sport's Lessons Only Applicable To Other Sports,1
1947,BREAKING: Johnny Manziel  ,1
1948,Roger Goodell Silently Battling Temptation To Monetize Training Camp Fights,1
